                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6307,                  4.658,                 1.9344,                0.38965,                0.16235,                0.09248,                0.03222,                 2.4287,                 2.9636,                  1.885,             0.00014399,             0.00014399,             0.00014399
                      2,                 2.2627,                 2.7931,                 1.6334,                0.23059,                0.20958,                 0.1475,                0.05196,                 2.2885,                 2.7011,                 1.8252,             0.00027468,             0.00027468,             0.00027468
                      3,                 2.1947,                 2.5404,                 1.6097,                0.35186,                0.22042,                0.16872,                0.06447,                 2.2616,                 2.4505,                 1.7765,             0.00039102,             0.00039102,             0.00039102
                      4,                 2.1614,                 2.3744,                 1.5903,                0.38578,                0.25682,                0.23936,                0.10541,                 2.2449,                 2.4152,                 1.7383,              0.0003704,              0.0003704,              0.0003704
                      5,                 2.0992,                 2.2851,                 1.5594,                0.40892,                 0.3019,                0.21457,                0.08957,                 2.2394,                 2.3657,                 1.7489,             0.00034887,             0.00034887,             0.00034887
                      6,                 2.0786,                 2.1902,                 1.5361,                0.37257,                0.28856,                 0.2329,                0.09044,                 2.2712,                 2.3182,                  1.722,             0.00032734,             0.00032734,             0.00032734
                      7,                 2.0556,                 2.1346,                 1.5267,                0.37217,                0.34617,                0.26293,                0.10823,                 2.1566,                 2.1544,                 1.6787,              0.0003058,              0.0003058,              0.0003058
                      8,                  2.017,                 2.0589,                 1.4952,                0.39385,                 0.3082,                0.23078,                0.09757,                 2.1846,                 2.2105,                 1.6601,             0.00028427,             0.00028427,             0.00028427
                      9,                 1.9934,                 1.9846,                 1.4722,                0.40778,                0.29281,                0.26865,                0.11631,                 2.1757,                 2.2039,                 1.6563,             0.00026274,             0.00026274,             0.00026274
                     10,                 1.9424,                 1.9386,                 1.4611,                0.38043,                0.32426,                0.26407,                0.11883,                 2.1614,                 2.1425,                 1.6686,             0.00024121,             0.00024121,             0.00024121
                     11,                 1.9672,                 1.9467,                 1.4987,                0.34976,                0.38397,                0.26112,                 0.1069,                 2.1952,                 2.1564,                 1.6458,             0.00021968,             0.00021968,             0.00021968
                     12,                   1.93,                 1.8275,                 1.4733,                0.43395,                0.31389,                0.26452,                0.11774,                 2.1532,                 2.1584,                 1.6707,             0.00019814,             0.00019814,             0.00019814
                     13,                 1.9107,                  1.763,                 1.4564,                0.45248,                0.34059,                0.30515,                0.13206,                 2.2039,                 2.1035,                  1.699,             0.00017661,             0.00017661,             0.00017661
                     14,                 1.8673,                 1.6695,                 1.4284,                0.38857,                0.36981,                0.27415,                0.11593,                 2.2287,                 2.1112,                 1.7031,             0.00015508,             0.00015508,             0.00015508
                     15,                 1.8375,                 1.6258,                  1.417,                0.43399,                0.35896,                0.31609,                0.13453,                 2.1951,                 2.0641,                 1.6786,             0.00013355,             0.00013355,             0.00013355
                     16,                 1.8158,                 1.5621,                 1.4001,                0.42441,                 0.3617,                0.29503,                0.13012,                 2.2353,                 2.0853,                 1.6964,             0.00011201,             0.00011201,             0.00011201
                     17,                 1.7864,                 1.4908,                  1.387,                0.49267,                0.33497,                0.31376,                0.13538,                 2.1937,                 2.0455,                 1.6712,              9.048e-05,              9.048e-05,              9.048e-05
                     18,                 1.7584,                 1.4493,                 1.3633,                0.45974,                0.36845,                0.31279,                0.13804,                 2.1838,                 2.0315,                 1.6565,             6.8948e-05,             6.8948e-05,             6.8948e-05
                     19,                 1.7255,                 1.3931,                  1.344,                0.46997,                0.34212,                0.30171,                0.12954,                  2.222,                 2.0363,                 1.6873,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     20,                 1.7077,                 1.3606,                   1.34,                0.43121,                0.35837,                0.29966,                0.13685,                 2.2164,                 2.0782,                  1.689,             2.5883e-05,             2.5883e-05,             2.5883e-05
