                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7251,                 1.3197,                 1.2614,                0.47354,                0.41909,                0.33779,                0.14998,                 2.2441,                  2.022,                 1.5555,             0.00014299,             0.00014299,             0.00014299
                      2,                 1.8207,                 1.5093,                 1.3152,                0.44257,                0.39777,                0.33241,                0.13571,                 2.2882,                 2.1256,                 1.5858,             0.00027848,             0.00027848,             0.00027848
                      3,                 1.8624,                 1.5916,                 1.3506,                0.44225,                0.29288,                0.26323,                0.10281,                  2.332,                 2.2964,                 1.6448,             0.00040441,             0.00040441,             0.00040441
                      4,                 1.9094,                 1.6815,                 1.3766,                0.33822,                0.33117,                0.24259,                0.08836,                 2.5073,                 2.3227,                 1.7467,             0.00039193,             0.00039193,             0.00039193
                      5,                 1.9319,                 1.6667,                 1.3857,                0.45892,                0.33778,                0.28785,                0.11783,                 2.2694,                 2.1402,                 1.6167,             0.00037758,             0.00037758,             0.00037758
                      6,                 1.9139,                  1.621,                 1.3702,                 0.4008,                0.33911,                0.28291,                 0.1147,                  2.235,                 2.1639,                 1.5659,             0.00036323,             0.00036323,             0.00036323
                      7,                 1.8792,                 1.5875,                 1.3622,                0.50374,                0.27534,                0.27276,                0.11266,                 2.2657,                 2.1394,                 1.6139,             0.00034887,             0.00034887,             0.00034887
                      8,                 1.8596,                 1.5144,                 1.3446,                0.48244,                0.23971,                  0.232,                0.09997,                 2.3011,                 2.2644,                 1.6382,             0.00033451,             0.00033451,             0.00033451
                      9,                  1.829,                 1.4861,                 1.3303,                0.47917,                0.30036,                0.28677,                0.12705,                 2.2423,                 2.0341,                 1.5676,             0.00032016,             0.00032016,             0.00032016
                     10,                 1.8149,                 1.4348,                 1.3239,                0.41463,                0.29554,                0.25418,                0.10984,                 2.3183,                 2.2612,                 1.6137,              0.0003058,              0.0003058,              0.0003058
                     11,                 1.7803,                 1.3738,                 1.2876,                 0.4812,                0.37153,                0.31354,                0.12193,                 2.3119,                 2.1987,                 1.6033,             0.00029145,             0.00029145,             0.00029145
                     12,                 1.7469,                  1.321,                 1.2857,                0.44876,                0.33748,                0.30971,                0.12704,                 2.3089,                 2.1052,                 1.6177,             0.00027709,             0.00027709,             0.00027709
                     13,                 1.7292,                 1.2941,                 1.2739,                0.50554,                0.35192,                0.29449,                0.11923,                 2.3399,                  2.136,                 1.6492,             0.00026274,             0.00026274,             0.00026274
                     14,                 1.7058,                  1.242,                 1.2572,                0.48954,                0.38334,                0.31139,                0.13638,                 2.3091,                 2.0425,                 1.6025,             0.00024839,             0.00024839,             0.00024839
                     15,                 1.6713,                  1.203,                 1.2356,                0.46511,                0.37271,                0.30531,                0.12408,                 2.3408,                 2.1106,                 1.6175,             0.00023403,             0.00023403,             0.00023403
                     16,                 1.6413,                 1.1566,                 1.2271,                0.55085,                0.28385,                0.29175,                0.12547,                 2.3811,                 2.1136,                 1.6669,             0.00021968,             0.00021968,             0.00021968
                     17,                 1.6258,                 1.1329,                 1.2125,                0.42262,                0.37351,                0.30639,                0.13099,                 2.3403,                 2.1684,                 1.6553,             0.00020532,             0.00020532,             0.00020532
                     18,                 1.6073,                 1.1037,                 1.2038,                0.44861,                0.31323,                0.29341,                0.11922,                 2.3954,                 2.1841,                 1.6783,             0.00019096,             0.00019096,             0.00019096
                     19,                 1.5739,                 1.0677,                 1.1946,                0.44735,                0.33953,                0.30003,                0.12964,                 2.3152,                 2.0957,                 1.6462,             0.00017661,             0.00017661,             0.00017661
                     20,                 1.5478,                 1.0333,                 1.1801,                0.43021,                0.37953,                0.30888,                0.12376,                 2.3603,                 2.1277,                 1.6768,             0.00016226,             0.00016226,             0.00016226
                     21,                  1.531,                0.99764,                 1.1662,                0.51874,                0.40512,                0.33674,                0.14048,                 2.3321,                 2.0741,                 1.6849,              0.0001479,              0.0001479,              0.0001479
                     22,                 1.4881,                 0.9559,                 1.1463,                0.45206,                0.34656,                0.32267,                0.13772,                 2.3634,                  2.195,                 1.6718,             0.00013355,             0.00013355,             0.00013355
                     23,                 1.4765,                0.93928,                 1.1439,                  0.523,                0.34543,                0.30177,                0.12731,                 2.3837,                 2.1063,                 1.6738,             0.00011919,             0.00011919,             0.00011919
                     24,                 1.4764,                0.91976,                 1.1282,                0.41452,                0.37678,                0.28946,                0.12516,                 2.4187,                 2.1527,                 1.7304,             0.00010483,             0.00010483,             0.00010483
                     25,                 1.4369,                0.88999,                 1.1207,                0.55137,                0.32812,                0.29704,                0.12947,                 2.3811,                 2.1033,                 1.7154,              9.048e-05,              9.048e-05,              9.048e-05
                     26,                 1.3941,                0.86555,                 1.1051,                0.47884,                0.34655,                0.30602,                0.13375,                 2.3692,                 2.2027,                 1.7257,             7.6125e-05,             7.6125e-05,             7.6125e-05
                     27,                 1.3775,                0.84376,                 1.0968,                 0.4493,                0.37222,                0.31257,                0.13678,                  2.387,                 2.1683,                 1.7226,              6.177e-05,              6.177e-05,              6.177e-05
                     28,                 1.3595,                0.82922,                 1.0829,                0.44444,                0.35697,                0.31438,                0.14282,                 2.3628,                 2.1762,                 1.7053,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     29,                 1.3451,                0.82398,                 1.0841,                0.43575,                0.39262,                0.31389,                0.13793,                 2.3853,                 2.2024,                 1.7178,              3.306e-05,              3.306e-05,              3.306e-05
                     30,                 1.3356,                0.81141,                 1.0784,                0.42552,                0.39221,                0.31415,                0.13793,                   2.36,                 2.2048,                 1.6978,             1.8705e-05,             1.8705e-05,             1.8705e-05
