                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6336,                 3.3553,                 2.0308,                0.33289,                0.09077,                0.05241,                0.01948,                 2.6904,                 2.9186,                 2.1863,             0.00025594,             0.00025594,             0.00025594
                      2,                 2.5164,                 2.7419,                 1.9722,                0.35341,                 0.1158,                0.06969,                0.02229,                 2.6822,                 2.9159,                 2.2675,             0.00049536,             0.00049536,             0.00049536
                      3,                 2.4963,                 2.6956,                 1.9536,                0.37287,                0.12385,                0.10259,                0.03462,                 2.6379,                 2.8306,                 2.1607,             0.00071788,             0.00071788,             0.00071788
                      4,                 2.4769,                 2.6238,                 1.9296,                0.27771,                0.15629,                 0.1094,                0.03486,                 2.5625,                 2.8222,                 2.1627,             0.00069287,             0.00069287,             0.00069287
                      5,                 2.4471,                 2.5793,                 1.8923,                0.37446,                0.14414,                0.11643,                0.04941,                 2.5495,                 2.7474,                 2.1335,             0.00066749,             0.00066749,             0.00066749
                      6,                 2.4131,                  2.532,                 1.8797,                0.31216,                0.23178,                0.14798,                0.06095,                 2.5321,                 2.7469,                 2.0948,             0.00064212,             0.00064212,             0.00064212
                      7,                 2.3892,                 2.4993,                  1.857,                0.17316,                0.19462,                0.12142,                0.04635,                 2.5166,                 2.6568,                 2.0975,             0.00061674,             0.00061674,             0.00061674
                      8,                 2.3848,                  2.448,                 1.8411,                0.30525,                0.21308,                0.15725,                0.07333,                 2.5112,                  2.676,                 2.1237,             0.00059136,             0.00059136,             0.00059136
                      9,                 2.3577,                 2.4132,                 1.8331,                0.19913,                0.26828,                0.17003,                0.06404,                 2.4966,                 2.6098,                 2.0795,             0.00056598,             0.00056598,             0.00056598
                     10,                 2.3497,                  2.386,                 1.8118,                0.25893,                0.23861,                 0.1976,                0.09563,                 2.4813,                 2.5938,                 2.0969,             0.00054061,             0.00054061,             0.00054061
                     11,                 2.3258,                 2.3693,                  1.817,                 0.2908,                0.26336,                0.17339,                0.07062,                 2.4733,                  2.556,                  2.067,             0.00051523,             0.00051523,             0.00051523
                     12,                  2.324,                 2.3308,                 1.8001,                0.25848,                0.28178,                0.20351,                 0.0914,                 2.4961,                 2.5639,                 2.0848,             0.00048985,             0.00048985,             0.00048985
                     13,                 2.3121,                 2.3167,                 1.7953,                0.25064,                0.24878,                0.17116,                0.07198,                 2.4914,                 2.5267,                 2.0651,             0.00046448,             0.00046448,             0.00046448
                     14,                 2.2845,                 2.2814,                 1.7715,                0.23127,                0.28815,                0.18758,                0.07632,                  2.461,                  2.565,                 2.0478,              0.0004391,              0.0004391,              0.0004391
                     15,                 2.2764,                 2.2485,                 1.7614,                0.30422,                0.31059,                0.20955,                0.08256,                 2.4365,                 2.5493,                 2.0247,             0.00041372,             0.00041372,             0.00041372
                     16,                 2.2604,                 2.2332,                 1.7576,                0.26928,                0.27677,                 0.2033,                0.08028,                 2.4772,                 2.5285,                 2.0717,             0.00038835,             0.00038835,             0.00038835
                     17,                 2.2471,                 2.1979,                 1.7461,                0.25242,                0.31859,                0.19095,                0.07416,                  2.464,                  2.524,                 2.0428,             0.00036297,             0.00036297,             0.00036297
                     18,                 2.2432,                 2.1806,                 1.7413,                0.29836,                 0.2938,                0.20751,                0.08063,                   2.46,                 2.5119,                 2.0757,             0.00033759,             0.00033759,             0.00033759
                     19,                 2.2223,                 2.1513,                 1.7293,                0.33272,                0.28057,                0.24822,                  0.106,                 2.4607,                 2.5269,                 2.0591,             0.00031221,             0.00031221,             0.00031221
                     20,                 2.2144,                 2.1249,                 1.7247,                0.30658,                0.24752,                0.18873,                0.08201,                  2.467,                 2.5638,                 2.0536,             0.00028684,             0.00028684,             0.00028684
                     21,                 2.2312,                 2.1237,                 1.8064,                0.29794,                0.25842,                0.21107,                0.08744,                  2.475,                 2.5168,                 2.0796,             0.00026146,             0.00026146,             0.00026146
                     22,                 2.2084,                 2.0663,                 1.7928,                0.32536,                0.31213,                0.23987,                0.10409,                 2.4802,                 2.5081,                 2.1052,             0.00023608,             0.00023608,             0.00023608
                     23,                 2.1875,                 2.0221,                 1.7743,                0.29994,                0.30164,                0.21796,                0.09244,                   2.49,                 2.5234,                 2.1005,             0.00021071,             0.00021071,             0.00021071
                     24,                   2.17,                 1.9847,                 1.7521,                0.30188,                0.27392,                0.22897,                0.10135,                 2.5182,                 2.5364,                 2.1088,             0.00018533,             0.00018533,             0.00018533
                     25,                 2.1512,                 1.9466,                 1.7405,                0.29215,                0.27494,                 0.2195,                0.09353,                 2.5155,                 2.5141,                 2.1244,             0.00015995,             0.00015995,             0.00015995
                     26,                 2.1308,                  1.919,                  1.734,                0.28934,                 0.2911,                0.21674,                0.09342,                  2.534,                 2.5356,                 2.1372,             0.00013457,             0.00013457,             0.00013457
                     27,                 2.1239,                 1.8813,                 1.7229,                  0.297,                0.33913,                   0.24,                0.10495,                 2.5587,                 2.5488,                  2.152,              0.0001092,              0.0001092,              0.0001092
                     28,                 2.0987,                  1.857,                 1.7088,                0.28261,                 0.2822,                0.23186,                0.10462,                 2.5697,                 2.5703,                 2.1562,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     29,                 2.0858,                 1.8268,                 1.6954,                0.33202,                0.26435,                 0.2066,                0.09057,                 2.5663,                 2.5654,                  2.162,             5.8444e-05,             5.8444e-05,             5.8444e-05
                     30,                 2.0656,                 1.7995,                 1.6896,                0.30674,                0.25932,                0.21004,                0.08926,                   2.58,                 2.5766,                 2.1668,             3.3067e-05,             3.3067e-05,             3.3067e-05
