                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7211,                 5.4192,                 1.9061,                0.36302,                0.16733,                0.09609,                0.03295,                 2.4574,                 2.9819,                 1.8159,             0.00017388,             0.00017388,             0.00017388
                      2,                  2.304,                 2.9366,                 1.6334,                0.33381,                0.17569,                0.10702,                0.03792,                 2.4011,                 2.8195,                 1.8944,             0.00033193,             0.00033193,             0.00033193
                      3,                 2.2479,                 2.6869,                 1.5756,                0.34155,                0.17855,                0.13794,                0.05281,                 2.3837,                 2.5629,                 1.7838,             0.00047262,             0.00047262,             0.00047262
                      4,                 2.2041,                 2.5606,                 1.5572,                0.28065,                0.26048,                0.16646,                0.06226,                 2.2649,                 2.5296,                 1.7578,             0.00044789,             0.00044789,             0.00044789
                      5,                 2.1923,                 2.4262,                 1.5418,                0.35025,                0.26165,                0.20798,                0.07955,                 2.2979,                 2.4051,                 1.7459,             0.00042185,             0.00042185,             0.00042185
                      6,                 2.1252,                 2.3438,                 1.5203,                0.37074,                0.28336,                 0.2298,                0.08706,                 2.2856,                 2.3424,                 1.7338,             0.00039581,             0.00039581,             0.00039581
                      7,                 2.1107,                 2.2568,                 1.4763,                0.36932,                0.27047,                0.20426,                0.07746,                 2.2333,                  2.495,                 1.7079,             0.00036978,             0.00036978,             0.00036978
                      8,                 2.0521,                 2.1604,                  1.477,                0.42803,                0.26733,                0.22635,                0.09553,                 2.2063,                  2.304,                 1.7026,             0.00034374,             0.00034374,             0.00034374
                      9,                 2.0314,                 2.0919,                 1.4395,                0.43948,                0.27254,                0.21719,                0.08522,                 2.2558,                 2.3883,                 1.7024,              0.0003177,              0.0003177,              0.0003177
                     10,                 1.9916,                 1.9885,                 1.4289,                0.45487,                0.32579,                0.25071,                 0.1004,                 2.2448,                 2.3528,                  1.735,             0.00029167,             0.00029167,             0.00029167
                     11,                 2.0266,                 2.0438,                 1.4887,                0.34213,                0.24852,                0.23111,                0.09195,                 2.2226,                 2.2741,                 1.6926,             0.00026563,             0.00026563,             0.00026563
                     12,                 1.9676,                 1.9465,                 1.4569,                0.32016,                0.29703,                0.23154,                0.08924,                 2.2278,                 2.3342,                 1.7092,             0.00023959,             0.00023959,             0.00023959
                     13,                 1.9467,                 1.8526,                 1.4522,                0.46026,                0.33066,                 0.2482,                0.09906,                 2.2211,                 2.2847,                  1.715,             0.00021356,             0.00021356,             0.00021356
                     14,                 1.9228,                 1.7692,                 1.4259,                0.51268,                0.29621,                0.27434,                0.10727,                 2.2413,                 2.2114,                  1.742,             0.00018752,             0.00018752,             0.00018752
                     15,                 1.8847,                 1.6983,                 1.4104,                0.34765,                0.34315,                0.25537,                0.10564,                  2.177,                 2.2761,                 1.6782,             0.00016148,             0.00016148,             0.00016148
                     16,                 1.8432,                 1.6193,                 1.3772,                0.40408,                0.32218,                0.25668,                0.10414,                 2.2416,                 2.2366,                 1.7109,             0.00013544,             0.00013544,             0.00013544
                     17,                 1.8194,                 1.5513,                 1.3643,                 0.3376,                0.33941,                0.27166,                0.10955,                 2.2398,                 2.2319,                  1.736,             0.00010941,             0.00010941,             0.00010941
                     18,                  1.786,                 1.5073,                 1.3552,                0.29872,                0.35322,                0.28899,                0.11898,                 2.2471,                 2.2115,                 1.7331,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                 1.7766,                 1.4612,                  1.337,                0.42598,                0.30802,                0.29128,                0.12178,                 2.2201,                  2.187,                 1.7092,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                  1.755,                  1.416,                 1.3271,                0.37578,                0.30737,                0.27962,                0.11301,                 2.2535,                 2.2118,                 1.7163,             3.1297e-05,             3.1297e-05,             3.1297e-05
