epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3227,2.69511,5.47689,1.90319,0.28337,0.13501,0.06334,0.02257,2.47552,2.93829,1.81781,0.000173884,0.000173884,0.000173884
2,51.6836,2.29212,2.96714,1.59163,0.36314,0.16609,0.12386,0.04428,2.49951,2.70709,1.93164,0.000331931,0.000331931,0.000331931
3,75.5585,2.2679,2.70279,1.5955,0.31473,0.22956,0.13344,0.04997,2.35934,2.82003,1.75781,0.00047262,0.00047262,0.00047262
4,99.2613,2.23252,2.55693,1.58334,0.30664,0.2481,0.15346,0.05714,2.34161,2.69078,1.8053,0.000447889,0.000447889,0.000447889
5,123.024,2.20178,2.43495,1.5321,0.35202,0.21912,0.18195,0.07199,2.28969,2.54575,1.73094,0.000421852,0.000421852,0.000421852
6,146.838,2.12786,2.33628,1.50542,0.32801,0.24202,0.19001,0.07778,2.21592,2.40914,1.67244,0.000395815,0.000395815,0.000395815
7,170.739,2.10088,2.25631,1.4994,0.3876,0.26541,0.22767,0.08996,2.24915,2.37783,1.70722,0.000369778,0.000369778,0.000369778
8,194.542,2.08935,2.16974,1.47215,0.4214,0.29847,0.22041,0.09032,2.24194,2.3291,1.70387,0.000343741,0.000343741,0.000343741
9,218.412,2.05468,2.11198,1.44934,0.44573,0.29964,0.23833,0.09291,2.22798,2.36333,1.66743,0.000317704,0.000317704,0.000317704
10,242.095,2.02029,2.0571,1.43936,0.39645,0.28516,0.24011,0.10251,2.24931,2.3066,1.68964,0.000291667,0.000291667,0.000291667
11,266.489,2.02342,2.03152,1.48831,0.47084,0.28179,0.25242,0.09954,2.22176,2.25275,1.68631,0.00026563,0.00026563,0.00026563
12,290.13,1.96807,1.93365,1.45315,0.511,0.30729,0.24188,0.09281,2.24421,2.31605,1.69201,0.000239593,0.000239593,0.000239593
13,313.967,1.94449,1.84035,1.43854,0.34307,0.32514,0.27533,0.11163,2.20548,2.26603,1.6804,0.000213556,0.000213556,0.000213556
14,337.557,1.92915,1.78575,1.41954,0.39428,0.31774,0.28153,0.1165,2.19749,2.18722,1.66701,0.000187519,0.000187519,0.000187519
15,360.872,1.89255,1.71052,1.39462,0.50895,0.32465,0.2957,0.12645,2.23443,2.2633,1.67594,0.000161482,0.000161482,0.000161482
16,384.158,1.85698,1.63018,1.36739,0.52695,0.31008,0.29113,0.12065,2.23283,2.22652,1.68634,0.000135445,0.000135445,0.000135445
17,407.644,1.83322,1.57164,1.35924,0.3629,0.34833,0.29746,0.12485,2.27325,2.23749,1.70992,0.000109408,0.000109408,0.000109408
18,431.039,1.79891,1.51692,1.34658,0.39901,0.31888,0.30381,0.12529,2.25629,2.16695,1.69811,8.3371e-05,8.3371e-05,8.3371e-05
19,454.936,1.77354,1.48067,1.33299,0.45791,0.3377,0.29422,0.12472,2.24941,2.21066,1.69859,5.7334e-05,5.7334e-05,5.7334e-05
20,478.855,1.75133,1.40807,1.32016,0.38407,0.33705,0.2818,0.11994,2.24167,2.25538,1.68557,3.1297e-05,3.1297e-05,3.1297e-05
